codigo,codigo_afip,descripcion,tipo,porcentaje,monto_fijo,base_jubilacion,base_obra_social,base_ganancias,base_sac,activo
A110000,110000,Sueldo,REMUNERATIVO,,,1,1,1,1,1
A110001,110001,Preaviso,REMUNERATIVO,,,1,1,1,1,1
A110002,110002,Remuneraciones en especie,REMUNERATIVO,,,1,1,1,1,1
A110003,110003,Comida,REMUNERATIVO,,,1,1,1,1,1
A110004,110004,Habitación,REMUNERATIVO,,,1,1,1,1,1
A110005,110005,Licencias por estudio,REMUNERATIVO,,,1,1,1,1,1
A110006,110006,Donación de sangre,REMUNERATIVO,,,1,1,1,1,1
A110007,110007,Feriado,REMUNERATIVO,,,1,1,1,1,1
A110008,110008,Prest. Dineraria Ley 24577 (primeros 10d),REMUNERATIVO,,,1,1,1,1,1
A110009,110009,Prest. Dineraria Ley 24577 (a cargo de ART),REMUNERATIVO,,,1,1,1,1,1
A110010,110010,Sueldo - Uso para aplicación RG 2252 - Actividades simultáneas,REMUNERATIVO,,,1,1,1,1,1
A110011,110011,Incremento solidario - Dec. 14/2020,REMUNERATIVO,,,1,1,1,1,1
A120000,120000,Sueldo anual complementario,REMUNERATIVO,,,1,1,1,1,1
A120001,120001,SAC 1er semestre,REMUNERATIVO,,,1,1,1,1,1
A120002,120002,SAC 2do semestre,REMUNERATIVO,,,1,1,1,1,1
A120003,120003,SAC proporcional,REMUNERATIVO,,,1,1,1,1,1
A120004,120004,SAC - Uso para aplicación RG 2252 - Actividades simultáneas,REMUNERATIVO,,,1,1,1,1,1
A130000,130000,Horas extras,REMUNERATIVO,,,1,1,1,1,1
A130001,130001,Horas extras al 50 %,REMUNERATIVO,,,1,1,1,1,1
A130002,130002,Horas extras al 100 %,REMUNERATIVO,,,1,1,1,1,1
A130003,130003,Horas extras al 200 %,REMUNERATIVO,,,1,1,1,1,1
A130004,130004,Horas extras - Uso para aplicación RG 2252 - Actividades simultáneas,REMUNERATIVO,,,1,1,1,1,1
A140000,140000,Zona desfavorable,REMUNERATIVO,,,1,1,1,1,1
A140001,140001,Zona desfavorable - Uso para aplicación RG 2252 - Actividades simultáneas,REMUNERATIVO,,,1,1,1,1,1
A150000,150000,Adelanto vacacional,REMUNERATIVO,,,1,1,1,1,1
A150001,150001,Adelanto vacacional - Uso para aplicación RG 2252 - Actividades simultáneas,REMUNERATIVO,,,1,1,1,1,1
A160000,160000,Adicionales,REMUNERATIVO,,,1,1,1,1,1
A160001,160001,Adicional por antigüedad,REMUNERATIVO,,,1,1,1,1,1
A160002,160002,Adicional por título,REMUNERATIVO,,,1,1,1,1,1
A160003,160003,Adicional por tarea,REMUNERATIVO,,,1,1,1,1,1
A160004,160004,Adicional por desarraigo,REMUNERATIVO,,,1,1,1,1,1
A160005,160005,Adicionales - Uso para aplicación RG 2252 - Actividades simultáneas,REMUNERATIVO,,,1,1,1,1,1
A170000,170000,Gratificaciones y/o Premios,REMUNERATIVO,,,1,1,1,1,1
A170001,170001,Premio por presentismo,REMUNERATIVO,,,1,1,1,1,1
A170002,170002,Premio por producción,REMUNERATIVO,,,1,1,1,1,1
