codigo,nombre,letra,clasificacion_interna,es_electronico,es_mipyme_fce,es_exportacion
001,FACTURAS A,A,factura,True,False,False
002,NOTAS DE DEBITO A,A,nota_debito,True,False,False
003,NOTAS DE CREDITO A,A,nota_credito,True,False,False
004,RECIBOS A,A,recibo,True,False,False
005,NOTAS DE VENTA AL CONTADO A,A,factura,True,False,False
006,FACTURAS B,B,factura,True,False,False
007,NOTAS DE DEBITO B,B,nota_debito,True,False,False
008,NOTAS DE CREDITO B,B,nota_credito,True,False,False
009,RECIBOS B,B,recibo,True,False,False
010,NOTAS DE VENTA AL CONTADO B,B,factura,True,False,False
011,FACTURAS C,C,factura,True,False,False
012,NOTAS DE DEBITO C,C,nota_debito,True,False,False
013,NOTAS DE CREDITO C,C,nota_credito,True,False,False
015,RECIBOS C,C,recibo,True,False,False
016,NOTAS DE VENTA AL CONTADO C,C,factura,True,False,False
017,LIQUIDACION DE SERVICIOS PUBLICOS CLASE A,A,factura,True,False,False
018,LIQUIDACION DE SERVICIOS PUBLICOS CLASE B,B,factura,True,False,False
019,FACTURAS DE EXPORTACION,E,factura,True,False,True
020,NOTAS DE DEBITO POR OPERACIONES CON EL EXTERIOR,E,nota_debito,True,False,True
021,NOTAS DE CREDITO POR OPERACIONES CON EL EXTERIOR,E,nota_credito,True,False,True
022,FACTURAS - PERMISO EXPORTACION SIMPLIFICADO - DTO. 855/97,E,factura,True,False,True
023,COMPROBANTES “A” DE COMPRA PRIMARIA PARA EL SECTOR PESQUERO MARITIMO,A,factura,True,False,False
024,COMPROBANTES “A” DE CONSIGNACION PRIMARIA PARA EL SECTOR PESQUERO MARITIMO,A,factura,True,False,False
025,COMPROBANTES “B” DE COMPRA PRIMARIA PARA EL SECTOR PESQUERO MARITIMO,B,factura,True,False,False
026,COMPROBANTES “B” DE CONSIGNACION PRIMARIA PARA EL SECTOR PESQUERO MARITIMO,B,factura,True,False,False
027,LIQUIDACION UNICA COMERCIAL IMPOSITIVA CLASE A,A,factura,True,False,False
028,LIQUIDACION UNICA COMERCIAL IMPOSITIVA CLASE B,B,factura,True,False,False
029,LIQUIDACION UNICA COMERCIAL IMPOSITIVA CLASE C,C,factura,True,False,False
030,COMPROBANTES DE COMPRA DE BIENES USADOS,X,factura,True,False,False
032,COMPROBANTES PARA RECICLAR MATERIALES,X,factura,True,False,False
033,LIQUIDACION PRIMARIA DE GRANOS,X,factura,True,False,False
034,COMPROBANTES A DEL APARTADO A INCISO F R G N 1415,A,factura,True,False,False
035,"COMPROBANTES B DEL ANEXO I, APARTADO A, INC.F), RG N° 1415",B,factura,True,False,False
036,"COMPROBANTES C DEL ANEXO I, APARTADO A, INC.F), R.G. N° 1415",C,factura,True,False,False
037,NOTAS DE DEBITO O DOCUMENTO EQUIVALENTE QUE CUMPLAN CON LA R.G. N° 1415,X,nota_debito,True,False,False
038,NOTAS DE CREDITO O DOCUMENTO EQUIVALENTE QUE CUMPLAN CON LA R.G. N° 1415,X,nota_credito,True,False,False
039,OTROS COMPROBANTES A QUE CUMPLEN CON LA R G 1415,A,factura,True,False,False
040,OTROS COMPROBANTES B QUE CUMPLAN CON LA R.G. 1415,B,factura,True,False,False
041,OTROS COMPROBANTES C QUE CUMPLAN CON LA R.G. 1415,C,factura,True,False,False
043,NOTA DE CREDITO LIQUIDACION UNICA COMERCIAL IMPOSITIVA CLASE B,B,nota_credito,True,False,False
044,NOTA DE CREDITO LIQUIDACION UNICA COMERCIAL IMPOSITIVA CLASE C,C,nota_credito,True,False,False
045,NOTA DE DEBITO LIQUIDACION UNICA COMERCIAL IMPOSITIVA CLASE A,A,nota_debito,True,False,False
046,NOTA DE DEBITO LIQUIDACION UNICA COMERCIAL IMPOSITIVA CLASE B,B,nota_debito,True,False,False
047,NOTA DE DEBITO LIQUIDACION UNICA COMERCIAL IMPOSITIVA CLASE C,C,nota_debito,True,False,False
048,NOTA DE CREDITO LIQUIDACION UNICA COMERCIAL IMPOSITIVA CLASE A,A,nota_credito,True,False,False
049,COMPROBANTES DE COMPRA DE BIENES NO REGISTRABLES A CONSUMIDORES FINALES,A,factura,True,False,False
050,RECIBO FACTURA A REGIMEN DE FACTURA DE CREDITO,A,recibo,True,False,False
051,FACTURAS M,M,factura,True,False,False
052,NOTAS DE DEBITO M,M,nota_debito,True,False,False
053,NOTAS DE CREDITO M,M,nota_credito,True,False,False
054,RECIBOS M,M,recibo,True,False,False
055,NOTAS DE VENTA AL CONTADO M,M,factura,True,False,False
056,COMPROBANTES M DEL ANEXO I APARTADO A INC F R G N 1415,M,factura,True,False,False
057,OTROS COMPROBANTES M QUE CUMPLAN CON LA R G N 1415,M,factura,True,False,False
058,CUENTAS DE VENTA Y LIQUIDO PRODUCTO M,M,factura,True,False,False
059,LIQUIDACIONES M,M,factura,True,False,False
060,CUENTAS DE VENTA Y LIQUIDO PRODUCTO A,A,factura,True,False,False
061,CUENTAS DE VENTA Y LIQUIDO PRODUCTO B,B,factura,True,False,False
063,LIQUIDACIONES A,A,factura,True,False,False
064,LIQUIDACIONES B,B,factura,True,False,False
066,DESPACHO DE IMPORTACION,X,remito,True,False,False
068,LIQUIDACION C,C,factura,True,False,False
070,RECIBOS FACTURA DE CREDITO,X,recibo,True,False,False
081,TIQUE FACTURA A CONTROLADORES FISCALES,A,factura,True,False,False
082,TIQUE - FACTURA B,B,factura,True,False,False
083,TIQUE,X,factura,True,False,False
